"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01456",2428.97079103774,3.63355333315647,0.24706037427609,14.7071473675336,5.8001386254222e-49,1.3676146864883e-44
"AC019048.1",2979.48159248896,2.88052222417128,0.207607815197581,13.8748255764355,9.00117872565055e-44,1.06119396586057e-39
"C1orf194",1051.49054935203,3.47951525133476,0.254941535912386,13.6482870038507,2.06679952748557e-42,1.62443553528607e-38
"CFP",451.553860996431,3.52117377408824,0.293276511307556,12.0063272656555,3.2914065142148e-33,1.94020185496677e-29
"MVP",336.510922797101,3.15022424657491,0.283402481848638,11.1157256846375,1.0519188370364e-28,4.96063885169624e-25
"FKSG62",565.256250493518,2.62040814475224,0.23651185922625,11.079394298979,1.57937371383149e-28,6.20667546640544e-25
"CTD-2135J3.3",513.408301726842,-2.32768887591676,0.222596668660205,-10.4569798367916,1.36125596260361e-25,4.5852934774615e-22
"RP11-97O12.6",179.546011041921,3.35552159147898,0.324209635287219,10.3498515351227,4.1913525221808e-25,1.23534876400626e-21
"RP1-272E8.1",48.3487653006664,3.59507665289035,0.352187701824042,10.2078426767057,1.82885780877451e-24,4.79140425256603e-21
"CTD-3046C4.1",165.951093001363,3.68557491754415,0.368709553183124,9.9958758478755,1.58876473427125e-23,3.74614836693818e-20
"UPB1",133.607130531987,2.73996459155325,0.287153591260218,9.54180854757378,1.4036280504186e-21,3.0087405273473e-18
"MEPE",392.323106521267,-4.28366569582121,0.450566319937377,-9.50729228144834,1.95689763174766e-21,3.84514077158152e-18
"CTDSPL",23341.2922494039,1.10080640341953,0.120344368111899,9.14713684312985,5.84624371303414e-20,1.06037369622794e-16
"GPRC5A",121.393515278285,3.75224818164928,0.411390391692882,9.12089406417269,7.45070986565525e-20,1.25485919944489e-16
"PTPRO",20218.7874671173,0.983719030479786,0.1093633645825,8.99495945680877,2.36319420598573e-19,3.71478374552917e-16
"UST",1765.34839049619,-1.6442699181901,0.18486506446183,-8.89443293667634,5.87183565153933e-19,8.65325080172787e-16
"LINC00456",593.491930235828,2.03816421871687,0.237643789741696,8.57655157297495,9.77598484354578e-18,1.3559290977998e-14
"OLAH",177.308580841305,3.63598208412878,0.428750312800427,8.48041849900933,2.24385368194164e-17,2.93932366480566e-14
"AC005027.3",74.0444051210967,3.94184422476572,0.465457958180599,8.46874385857266,2.48053469606649e-17,3.07834355781852e-14
"CRB1",2810.21787241764,-1.40368946142644,0.16695131381125,-8.40777726980578,4.17853685322807e-17,4.92628602311323e-14
"FBXL7",3581.56491607769,-1.57661029903277,0.18939790343327,-8.32432814964216,8.48083677491778e-17,9.52236430075173e-14
"PLA2R1",1975.55070922712,-1.76971548258167,0.214161669936677,-8.26345574866379,1.41514676743546e-16,1.51671571042549e-13
"LINC00152",2856.3079961551,0.965709230052269,0.117173799960048,8.24168227352483,1.69805997408984e-16,1.74080678822019e-13
"KCNG3",1317.72483647457,1.33634633241054,0.167282730311438,7.98854926580049,1.36535903512698e-15,1.34140836205246e-12
"HAPLN1",168.944018514247,-3.51145920053728,0.441468652111155,-7.9540397347469,1.80526186395855e-15,1.70265077961115e-12
"LHX6",415.933378055571,-2.7827815427542,0.35054792347129,-7.93837691348386,2.0484405794299e-15,1.85769924701452e-12
"RASSF4",795.785973597226,-1.73249029287783,0.218668149371155,-7.92292017772187,2.31996519613706e-15,2.02601701332281e-12
"ACVR1C",1367.36229441463,1.4898594534777,0.189296228453365,7.87051842316413,3.53174651233793e-15,2.97410896480057e-12
"SERPINE2",4082.62692855994,1.79066282970462,0.22824101696659,7.84549093542962,4.31262996955941e-15,3.50646558800832e-12
