GO biological process complete	Homo sapiens - REFLIST (20592)	upload_1 (1378)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of somatic stem cell population maintenance (GO:1904672)	11	6	0.74	+	8.15	4.09E-04	2.83E-02
osteoblast development (GO:0002076)	18	7	1.2	+	5.81	6.64E-04	4.37E-02
cell adhesion mediated by integrin (GO:0033627)	40	13	2.68	+	4.86	1.74E-05	2.07E-03
positive regulation of smooth muscle contraction (GO:0045987)	30	9	2.01	+	4.48	5.58E-04	3.75E-02
glomerulus development (GO:0032835)	56	14	3.75	+	3.74	9.58E-05	8.22E-03
collagen fibril organization (GO:0030199)	60	15	4.02	+	3.74	5.45E-05	5.20E-03
phosphatidylinositol-mediated signaling (GO:0048015)	76	18	5.09	+	3.54	1.90E-05	2.20E-03
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	84	19	5.62	+	3.38	1.96E-05	2.22E-03
inositol lipid-mediated signaling (GO:0048017)	80	18	5.35	+	3.36	3.42E-05	3.56E-03
positive regulation of osteoblast differentiation (GO:0045669)	68	15	4.55	+	3.3	1.82E-04	1.39E-02
camera-type eye morphogenesis (GO:0048593)	130	26	8.7	+	2.99	4.51E-06	7.15E-04
nephron development (GO:0072006)	138	27	9.23	+	2.92	4.26E-06	7.04E-04
cell-substrate adhesion (GO:0031589)	185	36	12.38	+	2.91	1.29E-07	3.24E-05
phospholipid transport (GO:0015914)	99	19	6.62	+	2.87	1.35E-04	1.11E-02
regulation of postsynapse organization (GO:0099175)	101	19	6.76	+	2.81	1.69E-04	1.32E-02
ureteric bud development (GO:0001657)	88	16	5.89	+	2.72	7.42E-04	4.74E-02
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	111	20	7.43	+	2.69	1.91E-04	1.44E-02
regulation of epithelial to mesenchymal transition (GO:0010717)	100	18	6.69	+	2.69	3.97E-04	2.76E-02
actin filament-based movement (GO:0030048)	95	17	6.36	+	2.67	6.03E-04	4.02E-02
kidney epithelium development (GO:0072073)	140	25	9.37	+	2.67	5.86E-05	5.52E-03
extracellular matrix organization (GO:0030198)	275	49	18.4	+	2.66	9.89E-09	3.74E-06
extracellular structure organization (GO:0043062)	276	49	18.47	+	2.65	1.08E-08	3.91E-06
cell-matrix adhesion (GO:0007160)	136	24	9.1	+	2.64	9.18E-05	7.96E-03
external encapsulating structure organization (GO:0045229)	278	49	18.6	+	2.63	1.31E-08	4.41E-06
eye morphogenesis (GO:0048592)	159	28	10.64	+	2.63	2.13E-05	2.38E-03
axon guidance (GO:0007411)	234	41	15.66	+	2.62	2.35E-07	5.70E-05
neuron projection guidance (GO:0097485)	234	41	15.66	+	2.62	2.35E-07	5.61E-05
neuron migration (GO:0001764)	137	24	9.17	+	2.62	9.64E-05	8.22E-03
formation of primary germ layer (GO:0001704)	120	21	8.03	+	2.62	2.96E-04	2.08E-02
regulation of osteoblast differentiation (GO:0045667)	127	22	8.5	+	2.59	2.17E-04	1.60E-02
inorganic ion import across plasma membrane (GO:0099587)	110	19	7.36	+	2.58	6.66E-04	4.36E-02
inorganic cation import across plasma membrane (GO:0098659)	110	19	7.36	+	2.58	6.66E-04	4.34E-02
regulation of nervous system process (GO:0031644)	151	26	10.1	+	2.57	5.46E-05	5.17E-03
detection of abiotic stimulus (GO:0009582)	141	24	9.44	+	2.54	1.23E-04	1.02E-02
sodium ion transmembrane transport (GO:0035725)	134	22	8.97	+	2.45	3.41E-04	2.38E-02
cardiac chamber development (GO:0003205)	168	27	11.24	+	2.4	1.35E-04	1.11E-02
branching morphogenesis of an epithelial tube (GO:0048754)	137	22	9.17	+	2.4	4.27E-04	2.94E-02
regulation of cell-substrate adhesion (GO:0010810)	219	35	14.66	+	2.39	1.11E-05	1.46E-03
detection of external stimulus (GO:0009581)	139	22	9.3	+	2.37	4.99E-04	3.37E-02
establishment of cell polarity (GO:0030010)	133	21	8.9	+	2.36	6.89E-04	4.46E-02
import across plasma membrane (GO:0098739)	167	26	11.18	+	2.33	2.40E-04	1.72E-02
morphogenesis of a branching structure (GO:0001763)	175	27	11.71	+	2.31	1.94E-04	1.45E-02
muscle cell differentiation (GO:0042692)	269	41	18	+	2.28	7.99E-06	1.13E-03
kidney development (GO:0001822)	303	46	20.28	+	2.27	1.83E-06	3.42E-04
morphogenesis of a branching epithelium (GO:0061138)	165	25	11.04	+	2.26	4.20E-04	2.90E-02
cell morphogenesis involved in differentiation (GO:0000904)	522	79	34.93	+	2.26	3.80E-10	2.18E-07
regulation of neurotransmitter levels (GO:0001505)	213	32	14.25	+	2.25	8.58E-05	7.53E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	450	67	30.11	+	2.22	1.89E-08	5.88E-06
muscle cell development (GO:0055001)	163	24	10.91	+	2.2	7.45E-04	4.74E-02
cell morphogenesis (GO:0000902)	686	101	45.91	+	2.2	6.36E-12	5.49E-09
renal system development (GO:0072001)	313	46	20.95	+	2.2	4.42E-06	7.08E-04
heart morphogenesis (GO:0003007)	255	37	17.06	+	2.17	4.51E-05	4.43E-03
striated muscle cell differentiation (GO:0051146)	207	30	13.85	+	2.17	2.26E-04	1.66E-02
regulation of small GTPase mediated signal transduction (GO:0051056)	304	44	20.34	+	2.16	9.60E-06	1.30E-03
sensory organ morphogenesis (GO:0090596)	278	40	18.6	+	2.15	3.22E-05	3.38E-03
regulation of cellular response to growth factor stimulus (GO:0090287)	313	45	20.95	+	2.15	8.15E-06	1.14E-03
neuron projection morphogenesis (GO:0048812)	488	70	32.66	+	2.14	2.67E-08	7.81E-06
cell part morphogenesis (GO:0032990)	518	74	34.66	+	2.13	1.35E-08	4.47E-06
cell projection morphogenesis (GO:0048858)	498	71	33.33	+	2.13	3.24E-08	9.15E-06
camera-type eye development (GO:0043010)	337	48	22.55	+	2.13	5.81E-06	8.85E-04
regulation of Ras protein signal transduction (GO:0046578)	190	27	12.71	+	2.12	6.18E-04	4.10E-02
striated muscle tissue development (GO:0014706)	190	27	12.71	+	2.12	6.18E-04	4.08E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	493	70	32.99	+	2.12	4.63E-08	1.26E-05
cell-cell adhesion (GO:0098609)	543	77	36.34	+	2.12	1.02E-08	3.77E-06
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	235	33	15.73	+	2.1	1.95E-04	1.46E-02
axonogenesis (GO:0007409)	375	52	25.09	+	2.07	4.29E-06	7.01E-04
cell adhesion (GO:0007155)	966	132	64.64	+	2.04	3.80E-13	6.55E-10
eye development (GO:0001654)	385	52	25.76	+	2.02	8.84E-06	1.21E-03
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	275	37	18.4	+	2.01	2.13E-04	1.58E-02
cellular component morphogenesis (GO:0032989)	618	83	41.36	+	2.01	2.05E-08	6.23E-06
visual system development (GO:0150063)	389	52	26.03	+	2	1.50E-05	1.88E-03
regulation of membrane potential (GO:0042391)	434	58	29.04	+	2	4.68E-06	7.34E-04
positive regulation of cell projection organization (GO:0031346)	354	47	23.69	+	1.98	3.92E-05	3.96E-03
angiogenesis (GO:0001525)	340	45	22.75	+	1.98	6.86E-05	6.27E-03
trans-synaptic signaling (GO:0099537)	432	57	28.91	+	1.97	6.97E-06	1.01E-03
sensory system development (GO:0048880)	395	52	26.43	+	1.97	1.76E-05	2.06E-03
regulation of system process (GO:0044057)	567	74	37.94	+	1.95	3.45E-07	8.00E-05
axon development (GO:0061564)	430	56	28.78	+	1.95	1.07E-05	1.42E-03
synapse organization (GO:0050808)	333	43	22.28	+	1.93	1.44E-04	1.17E-02
regulation of neuron projection development (GO:0010975)	450	58	30.11	+	1.93	1.06E-05	1.42E-03
neuron development (GO:0048666)	861	110	57.62	+	1.91	1.65E-09	8.55E-07
chemical synaptic transmission (GO:0007268)	415	53	27.77	+	1.91	2.88E-05	3.15E-03
anterograde trans-synaptic signaling (GO:0098916)	415	53	27.77	+	1.91	2.88E-05	3.13E-03
synaptic signaling (GO:0099536)	462	59	30.92	+	1.91	1.36E-05	1.73E-03
negative regulation of locomotion (GO:0040013)	338	43	22.62	+	1.9	1.72E-04	1.33E-02
growth (GO:0040007)	419	53	28.04	+	1.89	4.51E-05	4.49E-03
developmental growth (GO:0048589)	419	53	28.04	+	1.89	4.51E-05	4.46E-03
neuron projection development (GO:0031175)	699	88	46.78	+	1.88	1.19E-07	3.02E-05
sensory organ development (GO:0007423)	591	74	39.55	+	1.87	1.90E-06	3.51E-04
regulation of cell projection organization (GO:0031344)	657	82	43.97	+	1.87	4.23E-07	9.38E-05
regulation of plasma membrane bounded cell projection organization (GO:0120035)	643	80	43.03	+	1.86	7.01E-07	1.47E-04
circulatory system process (GO:0003013)	493	61	32.99	+	1.85	1.75E-05	2.05E-03
supramolecular fiber organization (GO:0097435)	591	73	39.55	+	1.85	2.89E-06	5.05E-04
muscle structure development (GO:0061061)	503	62	33.66	+	1.84	2.00E-05	2.25E-03
anatomical structure formation involved in morphogenesis (GO:0048646)	959	118	64.18	+	1.84	2.21E-09	1.07E-06
heart development (GO:0007507)	563	69	37.68	+	1.83	8.25E-06	1.14E-03
circulatory system development (GO:0072359)	926	113	61.97	+	1.82	8.46E-09	3.37E-06
regulation of transmembrane transport (GO:0034762)	594	72	39.75	+	1.81	6.57E-06	9.82E-04
vasculature development (GO:0001944)	546	66	36.54	+	1.81	1.95E-05	2.23E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	423	51	28.31	+	1.8	1.65E-04	1.30E-02
cell junction organization (GO:0034330)	531	64	35.53	+	1.8	2.32E-05	2.57E-03
blood vessel development (GO:0001568)	526	63	35.2	+	1.79	3.14E-05	3.32E-03
blood vessel morphogenesis (GO:0048514)	432	51	28.91	+	1.76	2.76E-04	1.96E-02
actin filament-based process (GO:0030029)	603	71	40.35	+	1.76	1.67E-05	2.03E-03
tissue morphogenesis (GO:0048729)	570	67	38.14	+	1.76	3.02E-05	3.24E-03
anatomical structure morphogenesis (GO:0009653)	2239	263	149.83	+	1.76	6.44E-18	1.00E-13
animal organ morphogenesis (GO:0009887)	991	116	66.32	+	1.75	4.94E-08	1.32E-05
inorganic ion transmembrane transport (GO:0098660)	733	85	49.05	+	1.73	4.41E-06	7.13E-04
plasma membrane bounded cell projection organization (GO:0120036)	1147	133	76.76	+	1.73	6.37E-09	2.75E-06
generation of neurons (GO:0048699)	1148	133	76.82	+	1.73	6.51E-09	2.73E-06
