Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04080:Neuroactive ligand-receptor interaction	29	5.311355311355311	1.0547399509679606E-7	NPFFR2, ADCYAP1R1, VIPR2, CHRNA2, CHRNA6, CHRM5, MLNR, GRIK1, PTH1R, GRPR, LYPD6, GHR, EDNRA, CALCR, GRM4, GALR1, TAC3, TAC1, F2R, TACR1, GABRG3, PRLR, ADRA2A, GABRG1, GRIN3A, SST, LYPD6B, FSHR, CRH	215	367	8586	3.155617514732907	2.7106450782077296E-5	2.7106816739876588E-5	2.6052076788908627E-5
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	15	2.7472527472527473	0.0014615002303225788	ADCYAP1R1, VIPR2, F2R, CALML3, ATP1B2, GLI3, VAV2, EDNRA, GRIN3A, SST, FSHR, CRH, PLCE1, PPARA, KCNK2	215	225	8586	2.662325581395349	0.3133154762345063	0.10490153937096036	0.10081976741100082
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	20	3.6630036630036633	0.00154882528991579	PDGFRA, ITGB5, ANGPT1, FLT3, HGF, F2R, ITGA1, VEGFC, IGF1, GNG12, PRLR, GHR, CCND1, COL4A3, KIT, ITGA11, FGF18, ITGA8, COL9A1, FGFR1	215	359	8586	2.224784608408369	0.3285774924222826	0.10490153937096036	0.10081976741100082
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	9	1.6483516483516485	0.001632708783983819	ITGB5, ITGA11, COL4A3, ITGA1, COL9A1, ITGA8, MEPE, NPNT, FREM2	215	89	8586	4.038359027959237	0.34291972127632475	0.10490153937096036	0.10081976741100082
KEGG_PATHWAY	hsa05033:Nicotine addiction	6	1.098901098901099	0.002968412195885616	GRIN3A, SLC32A1, CHRNA6, SLC17A8, GABRG3, GABRG1	215	40	8586	5.990232558139534	0.5342081665827694	0.15257638686852065	0.14663956247674942
KEGG_PATHWAY	hsa04020:Calcium signaling pathway	15	2.7472527472527473	0.004286459510783658	PDGFRA, HGF, F2R, CHRM5, VEGFC, CALML3, TACR1, GRPR, SMIM6, TRDN, EDNRA, GRIN3A, FGF18, PLCE1, FGFR1	215	253	8586	2.367680853019579	0.668453725537788	0.18360334904523334	0.17645924986059391
KEGG_PATHWAY	hsa05200:Pathways in cancer	24	4.395604395604396	0.006618405948191887	ALK, STAT5A, PDGFRA, GSTM2, FLT3, HGF, F2R, LRP5, VEGFC, CALML3, MITF, IGF1, GNG12, WNT16, GLI3, GLI2, SHH, EDNRA, SMO, CCND1, COL4A3, KIT, FGF18, FGFR1	215	531	8586	1.8049664958612535	0.8185153155030678	0.242990046955045	0.23353518131477086
KEGG_PATHWAY	hsa05218:Melanoma	7	1.282051282051282	0.008898344861305611	PDGFRA, CCND1, HGF, FGF18, MITF, IGF1, FGFR1	215	72	8586	3.8825581395348836	0.8994509985078641	0.2649244580853391	0.2546161134127578
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	13	2.380952380952381	0.012044584070613203	PDGFRA, ITGB5, F2R, CHRM5, ITGA1, GNG12, IQGAP2, VAV2, ITGA11, FGF18, ITGA8, MYH14, FGFR1	215	229	8586	2.267045800751498	0.9555882370049162	0.2649244580853391	0.2546161134127578
KEGG_PATHWAY	hsa05412:Arrhythmogenic right ventricular cardiomyopathy	7	1.282051282051282	0.012193668298013466	ITGB5, ITGA11, ITGA1, ITGA8, PKP2, CACNG4, CACNG5	215	77	8586	3.6304439746300208	0.9572777576094511	0.2649244580853391	0.2546161134127578
KEGG_PATHWAY	hsa04340:Hedgehog signaling pathway	6	1.098901098901099	0.012509213122187661	SHH, SMO, CCND1, GPR161, GLI3, GLI2	215	56	8586	4.27873754152824	0.9606454933183407	0.2649244580853391	0.2546161134127578
KEGG_PATHWAY	hsa04510:Focal adhesion	12	2.197802197802198	0.012528688884472288	PDGFRA, CCND1, ITGB5, HGF, ITGA11, COL4A3, ITGA1, COL9A1, ITGA8, VEGFC, IGF1, VAV2	215	203	8586	2.3606827815328213	0.960844465836568	0.2649244580853391	0.2546161134127578
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	12	2.197802197802198	0.013400848074355673	SHH, SMO, CCND1, ITGB5, HGF, PLCE1, IGF1, HPSE, WNT16, ANK1, VAV2, FGFR1	215	205	8586	2.337651730005672	0.9687989207173597	0.2649244580853391	0.2546161134127578
KEGG_PATHWAY	hsa04014:Ras signaling pathway	13	2.380952380952381	0.014923580767385394	PDGFRA, ANGPT1, PLA2G2C, FLT3, HGF, VEGFC, CALML3, IGF1, GNG12, KIT, FGF18, PLCE1, FGFR1	215	236	8586	2.1998029168309023	0.9790217032850073	0.27029339775002426	0.25977614491928397
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	12	2.197802197802198	0.015775879246110364	PDGFRA, ANGPT1, HGF, FGF18, F2R, KIT, VEGFC, PLCE1, CALML3, IGF1, VAV2, FGFR1	215	210	8586	2.2819933554817275	0.9832058088584018	0.27029339775002426	0.25977614491928397
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	15	2.7472527472527473	0.018233144893300947	PDGFRA, ANGPT1, FLT3, HGF, VEGFC, IGF1, GNG12, DUSP10, KIT, FGF18, MAP3K8, MAP3K6, CACNG4, CACNG5, FGFR1	215	301	8586	1.990110484431739	0.9911661489849254	0.2928698898486465	0.2814741742903334
KEGG_PATHWAY	hsa04727:GABAergic synapse	7	1.282051282051282	0.02342122299765476	SLC32A1, GAD1, GAD2, SLC6A1, GNG12, GABRG3, GABRG1	215	89	8586	3.140945910634962	0.9977365470782892	0.3407828163570699	0.32752278459220335
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy	7	1.282051282051282	0.024591337340824734	ITGB5, ITGA11, ITGA1, ITGA8, IGF1, CACNG4, CACNG5	215	90	8586	3.106046511627907	0.998336746965501	0.3407828163570699	0.32752278459220335
