,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,Reformatted Genes,
CTC-435M10.6,3.773789025,5.4359451,1.56521847,3.472962532,0.000514747,0.011078433,,CTC,
REG4,3.643784187,5.37572139,1.652261797,3.253553038,0.001139714,0.02020878,,REG4,
AC010904.1,3.729155544,4.989986388,1.409961323,3.539094519,0.000401502,0.009124809,,AC010904.1,
NCCRP1,10.44339438,4.868441988,0.998812022,4.874232471,1.09E-06,8.14E-05,,NCCRP1,
ADM2,6.519221215,4.537068182,0.961417504,4.71914456,2.37E-06,0.000149873,,ADM2,
GNG8,11.313762,4.463560859,0.795891562,5.608252522,2.04E-08,3.07E-06,,GNG8,
MIR6132,10.01694183,4.451553608,0.982218673,4.532141089,5.84E-06,0.000322597,,MIR6132,
RP11-713N11.4,12.65298339,4.387411747,0.746224931,5.879476231,4.12E-09,7.77E-07,,RP11,
AC068535.2,7.927938943,4.296240852,1.137681013,3.7763141,0.000159166,0.004488157,,AC068535.2,
ITGAX,84.0840398,4.28680028,0.631904681,6.783934998,1.17E-11,4.32E-09,,ITGAX,
PLA2G2A,12.09899345,4.256343797,0.901458848,4.721617416,2.34E-06,0.000148447,,PLA2G2A,
HMGB1P29,2.90453819,4.157163884,1.156705431,3.593969367,0.000325678,0.007809544,,HMGB1P29,#NAME?
LINC00163,4.669884678,3.983800945,1.112575595,3.58070136,0.000342673,0.008050671,,LINC00163,
CCL20,11.52329203,3.975840432,0.71442712,5.565074894,2.62E-08,3.73E-06,,CCL20,
AC005027.3,74.04440512,3.870410076,0.529684385,7.307011846,2.73E-13,1.62E-10,,AC005027.3,
PLA2G2E,11.74279454,3.850701735,0.70265608,5.480208374,4.25E-08,5.45E-06,,PLA2G2E,
GPRC5A,121.3935153,3.726662442,0.401863547,9.273452318,1.80E-20,3.38E-17,,GPRC5A,
CTD-3046C4.1,165.951093,3.672162695,0.388440007,9.453616076,3.27E-21,7.25E-18,,CTD,
RP1-272E8.1,48.3487653,3.622798003,0.347612883,10.42193251,1.97E-25,8.00E-22,,RP1,
