,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,Reformatted Genes
AP000235.3,6.60994017,-6.122582936,1.234779963,-4.958440467,7.10613068570829e-07,4.91364971959871e-05,,,AP000235.3
KRT36,7.383439639,-5.460295911,1.323862355,-4.124519358,3.7150974704944e-05,0.001261061,,,KRT36
DYNAP,3.490013805,-5.179499392,1.380074171,-3.753058713,0.00017469,0.004246406,,,DYNAP
RP11-229P13.25,3.578618499,-4.729834158,1.298869588,-3.641500425,0.000271054,0.005934238,,,RP11
CTBP2P5,5.836323498,-4.657469769,1.177232847,-3.956285949,7.61240346797903e-05,0.002205072,,,CTBP2P5
AC099342.1,24.44967735,-4.500920231,0.91356692,-4.926754826,8.36065535718302e-07,5.63245407620053e-05,,,AC099342.1
RP5-894D12.5,3.970084706,-4.387300947,1.184692269,-3.70332538,0.000212792,0.004943266,,,RP5
MEPE,392.3231065,-4.283665696,0.45056632,-9.507292281,1.95689763174766e-21,3.84514077158152e-18,,,MEPE
NPPC,26.78312582,-4.144805173,0.860487689,-4.816809381,1.45871918182376e-06,8.84193819748652e-05,,,NPPC
C8orf22,12.17399569,-4.103599581,1.122200295,-3.656744342,0.000255439,0.005643165,,,C8orf22
IDO2,3.273691191,-4.098151147,1.382234519,-2.964873972,0.00302807,0.038097853,,,IDO2
RP11-125D12.2,3.260238228,-4.091662065,1.241585211,-3.295514498,0.000982416,0.015975445,,,RP11
RP11-274H2.2,12.30577552,-4.073059636,0.747313673,-5.450267783,5.02940338784014e-08,5.38105477456373e-06,,,RP11
RNY4P13,19.7620626,-3.950772919,0.622349448,-6.348158469,2.17907559852501e-10,5.29695088016713e-08,,,RNY4P13
LINC00943,5.26870551,-3.762487102,1.118540638,-3.363746452,0.000768921,0.013224216,,,LINC00943
NPM1P52,5.410636462,-3.740129626,0.959009684,-3.899991511,9.61960607401274e-05,0.002648447,,,NPM1P52
RP11-300M24.1,8.116813344,-3.681368647,0.92218437,-3.992009369,6.55157836195249e-05,0.001970404,,,RP11
